league,year,injury_type,injury_category,games_missed
NFL,2009.0,biceps,Upper Body,0.0
NFL,2009.0,foot,Lower Body,8.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,concussion,Head,9.0
NFL,2009.0,achilles,Lower Body,0.0
NFL,2009.0,thigh forearm,Lower Body,12.0
NFL,2009.0,groin finger elbow,Lower Body,0.0
NFL,2009.0,ankle hip illness,Illness,1.0
NFL,2009.0,neck shoulder,Upper Body,8.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,1.0
NFL,2009.0,groin knee illness knee ankle,Illness,3.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,knee neck ankle,Lower Body,0.0
NFL,2009.0,head shoulder,Head,14.0
NFL,2009.0,calf hamstring,Lower Body,5.0
NFL,2009.0,knee shoulder,Lower Body,1.0
NFL,2009.0,knee elbow,Lower Body,1.0
NFL,2009.0,calf knee,Lower Body,2.0
NFL,2009.0,hamstring back shoulder,Lower Body,1.0
NFL,2009.0,knee,Lower Body,7.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,knee illness hip,Illness,1.0
NFL,2009.0,knee ankle,Lower Body,3.0
NFL,2009.0,hamstring shoulder,Lower Body,10.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,groin,Lower Body,2.0
NFL,2009.0,neck hamstring wrist ankle concussion,Head,7.0
NFL,2009.0,knee illness shoulder wrist thumb,Illness,0.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,back ankle,Lower Body,4.0
NFL,2009.0,thigh,Lower Body,3.0
NFL,2009.0,illness concussion,Illness,5.0
NFL,2009.0,foot,Lower Body,2.0
NFL,2009.0,toe ankle,Lower Body,1.0
NFL,2009.0,foot illness foot back leg ankle,Illness,5.0
NFL,2009.0,foot finger illness hamstring finger hamstring finger finger thigh thigh finger,Illness,3.0
NFL,2009.0,toe,Lower Body,0.0
NFL,2009.0,calf shoulder groin,Lower Body,1.0
NFL,2009.0,thumb shoulder ankle,Lower Body,2.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,illness calf,Illness,1.0
NFL,2009.0,thigh shoulder,Lower Body,0.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,finger,Upper Body,1.0
NFL,2009.0,illness shoulder hamstring groin,Illness,0.0
NFL,2009.0,knee illness thigh ankle,Illness,0.0
NFL,2009.0,shoulder illness knee,Illness,1.0
NFL,2009.0,ankle,Lower Body,3.0
NFL,2009.0,knee hand shoulder hamstring,Lower Body,0.0
NFL,2009.0,knee,Lower Body,5.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,illness knee knee illness,Illness,0.0
NFL,2009.0,thumb,Upper Body,0.0
NFL,2009.0,quadriceps thigh thigh thumb thumb,Lower Body,1.0
NFL,2009.0,concussion,Head,2.0
NFL,2009.0,pectoral,Upper Body,16.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,toe,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,ankle fibula ankle,Lower Body,7.0
NFL,2009.0,thumb,Upper Body,0.0
NFL,2009.0,knee ankle,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,4.0
NFL,2009.0,wrist ankle,Lower Body,6.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,elbow,Upper Body,0.0
NFL,2009.0,hamstring,Lower Body,5.0
NFL,2009.0,thigh knee,Lower Body,2.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,ankle back,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,5.0
NFL,2009.0,chest thumb,Upper Body,1.0
NFL,2009.0,head neck foot wrist neck wrist,Head,0.0
NFL,2009.0,knee,Lower Body,3.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,ankle,Lower Body,3.0
NFL,2009.0,ribs,Upper Body,1.0
NFL,2009.0,foot,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,shoulder hamstring,Lower Body,2.0
NFL,2009.0,groin thigh quadriceps illness,Illness,2.0
NFL,2009.0,ankle knee,Lower Body,2.0
NFL,2009.0,hand knee hamstring neck ankle,Lower Body,0.0
NFL,2009.0,toe,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,finger,Upper Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,1.0
NFL,2009.0,shoulder toe,Lower Body,8.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,head,Head,0.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,back,Upper Body,3.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,shoulder back hamstring,Lower Body,6.0
NFL,2009.0,hamstring,Lower Body,2.0
NFL,2009.0,foot,Lower Body,3.0
NFL,2009.0,illness back neck hamstring,Illness,1.0
NFL,2009.0,forearm,Upper Body,3.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,illness knee,Illness,1.0
NFL,2009.0,knee groin shoulder ankle,Lower Body,0.0
NFL,2009.0,finger ankle,Lower Body,0.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,quadriceps neck head,Head,2.0
NFL,2009.0,back hip back disciplinary,Lower Body,1.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,knee,Lower Body,2.0
NFL,2009.0,thigh,Lower Body,0.0
NFL,2009.0,shoulder,Upper Body,2.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,illness,Illness,1.0
NFL,2009.0,neck,Upper Body,0.0
NFL,2009.0,hamstring,Lower Body,2.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,10.0
NFL,2009.0,neck knee knee shoulder shoulder,Lower Body,3.0
NFL,2009.0,knee,Lower Body,16.0
NFL,2009.0,shoulder ankle,Lower Body,1.0
